,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
74,I Like Me Better,I Like Me Better,Lauv,2017-05-19,197436,30,0.752,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4
75,Hurts Like Hell (feat. Offset),Hurts Like Hell (feat. Offset),Madison Beer,2018-11-09,207108,73,0.704,0.185,0.704,0.56,0.0,0.0948,-6.791,0.179,75.003,4
76,hate u love u,hate u love u,Olivia O'Brien,2016-12-09,175466,78,0.407,0.656,0.407,0.416,0.0,0.0981,-8.915,0.174,176.947,4
77,Only You (with Little Mix),Only You (with Little Mix),Cheat Codes,2018-06-22,189401,66,0.607,0.0829,0.607,0.74,0.0,0.105,-4.793,0.172,108.05,4
78,i'm so tired...,i'm so tired...,Lauv,2019-01-24,162582,29,0.599,0.176,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,4
79,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,81,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4
80,She Loves Control,Camila,Camila Cabello,2018-01-12,177160,65,0.65,0.166,0.65,0.758,0.0,0.0889,-4.02,0.116,94.9,4
81,Havana - Remix,Havana (Remix),Camila Cabello,2017-11-12,199095,67,0.751,0.398,0.751,0.579,2.28e-05,0.133,-4.036,0.0321,105.031,4
82,Capital Letters,Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,2018-02-09,219373,73,0.661,0.0337,0.661,0.814,8.27e-06,0.0518,-5.529,0.0759,99.963,4
83,Falling to Pieces,Phoenix (Deluxe),Rita Ora,2018-11-23,260920,30,0.647,0.00966,0.647,0.703,1.68e-05,0.222,-5.871,0.0278,91.94,4
84,Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,231173,80,0.743,0.0188,0.743,0.752,0.0,0.287,-4.813,0.0414,110.015,4
85,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]",Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Various Artists,2019-02-22,210000,64,0.604,0.274,0.604,0.754,3.53e-06,0.0947,-4.243,0.119,179.836,4
86,Bang Bang,My Everything (Deluxe),Ariana Grande,2014-08-25,199320,60,0.703,0.283,0.703,0.747,0.0,0.396,-4.446,0.0895,149.974,4
87,My Everything,My Everything (Deluxe),Ariana Grande,2014-08-25,168520,64,0.54,0.88,0.54,0.265,0.0,0.131,-5.307,0.0297,61.975,4
88,Be My Baby,My Everything (Deluxe),Ariana Grande,2014-08-25,217053,59,0.622,0.0735,0.622,0.586,7.41e-06,0.0803,-6.241,0.0356,145.08,4
89,Focus,Focus,Ariana Grande,2015-10-30,211360,65,0.671,0.266,0.671,0.876,0.0,0.444,-6.034,0.239,100.016,4
90,Bang Bang,Bang Bang,Jessie J,2014-07-29,199373,60,0.707,0.269,0.707,0.752,0.0,0.377,-4.401,0.0885,150.061,4
91,Thinking Bout You,Dangerous Woman,Ariana Grande,2016-05-20,200400,38,0.505,0.0164,0.505,0.704,0.000469,0.121,-6.08,0.0584,102.988,4
92,Knew Better / Forever Boy,Dangerous Woman,Ariana Grande,2016-05-20,299213,27,0.484,0.235,0.484,0.381,3.6e-06,0.0998,-6.705,0.0711,106.65,4
93,Touch It,Dangerous Woman,Ariana Grande,2016-05-20,260000,35,0.536,0.0303,0.536,0.694,0.0,0.183,-4.369,0.0332,100.906,4
94,Bad Decisions,Dangerous Woman,Ariana Grande,2016-05-20,226426,28,0.691,0.0149,0.691,0.642,0.0,0.28,-5.399,0.0429,131.988,4
95,I Don't Care,Dangerous Woman,Ariana Grande,2016-05-20,178026,24,0.585,0.773,0.585,0.401,0.0,0.153,-8.319,0.0412,111.956,4
96,Sometimes,Dangerous Woman,Ariana Grande,2016-05-20,226666,28,0.397,0.0907,0.397,0.666,0.0,0.344,-5.383,0.248,77.915,4
97,Everyday,Dangerous Woman,Ariana Grande,2016-05-20,194840,38,0.63,0.017,0.63,0.721,0.0,0.189,-4.51,0.0521,130.974,4
98,Leave Me Lonely,Dangerous Woman,Ariana Grande,2016-05-20,229680,27,0.445,0.599,0.445,0.446,2.21e-05,0.339,-7.468,0.0312,90.927,3
99,Greedy,Dangerous Woman,Ariana Grande,2016-05-20,214906,39,0.619,0.0323,0.619,0.705,0.0,0.0919,-5.335,0.099,109.975,4
